ntee,description,title,keywords/0,keywords/1,keywords/2,keywords/3,keywords/4,keywords/5,keywords/6,keywords/7,keywords/8,keywords/9,keywords/10,keywords/11,keywords/12,keywords/13,keywords/14,keywords/15,keywords/16,keywords/17,keywords/18,keywords/19,keywords/20,keywords/21,keywords/22,keywords/23,keywords/24,keywords/25,keywords/26,keywords/27,keywords/28,keywords/29,keywords/30,keywords/31,keywords/32,keywords/33,keywords/34,keywords/35,keywords/36,keywords/37,keywords/38,keywords/39,keywords/40,keywords/41,keywords/42,keywords/43,keywords/44,keywords/45,keywords/46,keywords/47,keywords/48,keywords/49,keywords/50,keywords/51,keywords/52,keywords/53,keywords/54,keywords/55,keywords/56,keywords/57,keywords/58,keywords/59,keywords/60,keywords/61,keywords/62,keywords/63,keywords/64,keywords/65,keywords/66,keywords/67,keywords/68,keywords/69,keywords/70,keywords/71,keywords/72,keywords/73,keywords/74,keywords/75,keywords/76,keywords/77,keywords/78,keywords/79,keywords/80,keywords/81,keywords/82,keywords/83,keywords/84,keywords/85,keywords/86,keywords/87,keywords/88,keywords/89,keywords/90,keywords/91,keywords/92,keywords/93,keywords/94,keywords/95,keywords/96,keywords/97,keywords/98,keywords/99,keywords/100,keywords/101,keywords/102,keywords/103,keywords/104,keywords/105,keywords/106,keywords/107,keywords/108,keywords/109,keywords/110,keywords/111,keywords/112,keywords/113,keywords/114,keywords/115,keywords/116,keywords/117,keywords/118,keywords/119,keywords/120,keywords/121,keywords/122,keywords/123,keywords/124,keywords/125,keywords/126,keywords/127,keywords/128,keywords/129,keywords/130,keywords/131,keywords/132,keywords/133,keywords/134,keywords/135,keywords/136,keywords/137,keywords/138,keywords/139,keywords/140,keywords/141,keywords/142,keywords/143,keywords/144,keywords/145,keywords/146,keywords/147,keywords/148,keywords/149,keywords/150,keywords/151,keywords/152,keywords/153,keywords/154,keywords/155,keywords/156,keywords/157,keywords/158,keywords/159,keywords/160,keywords/161,keywords/162,keywords/163,keywords/164,keywords/165,keywords/166,keywords/167,keywords/168,keywords/169,keywords/170,keywords/171,keywords/172,keywords/173,keywords/174,keywords/175,keywords/176,keywords/177,keywords/178,keywords/179,keywords/180,keywords/181,keywords/182,keywords/183,keywords/184,keywords/185,keywords/186,keywords/187,keywords/188,keywords/189,keywords/190,keywords/191,keywords/192,keywords/193,keywords/194,keywords/195,keywords/196,keywords/197,keywords/198,keywords/199,keywords/200,keywords/201,keywords/202,keywords/203,keywords/204,keywords/205,keywords/206,keywords/207,keywords/208,keywords/209,keywords/210,keywords/211,keywords/212,keywords/213,keywords/214,keywords/215,keywords/216,keywords/217,keywords/218,keywords/219,keywords/220,keywords/221,keywords/222,keywords/223,keywords/224
J21,"Organizations that administer tests which measure the skills, abilities and interests of job seekers and help them make appropriate decisions regarding an occupational field or position.",Vocational Counseling,Assessment Testing,Career Awareness,Career Counseling,Career Development,Career Goals,Career Guidance,Career Planning,Employment Aptitude Testing,Employment Counseling,Employment Interest Measures,Interest Inventories,Job Counseling,Vocational Assessment,Vocational Counseling,Vocational Guidance,Vocational Information,Vocational Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J22,Organizations that train people in the specific skills they will need to obtain employment in a particular industry or which provide work experience for youth or others who have no employment history.,Job Training,Apprenticeship & Training Trusts,Apprenticeships,Community Work & Training,Employment Training,Field Experience,Industrial Training,In-service Training,Internships,Job Corps,Job Training,Jobs Training Partnership Act,JTPA,JTPA Summer,Manpower Training,Occupational Training,On-the-Job Training,Personnel Training,Practice Teaching,Practicums,Public Employment & Training,Residency,School to Career,School to Work,Senior Community Service Employment,Student Field Work,Summer Youth Employment,Title IIA,Title IIB,Title IIC,Welfare to Work,WIA,Work & Training,Work Experience,Workfare,Workforce Development,Workforce Investment Act,Youth Corps,Youth Job Training & Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J30,"Organizations that provide job training and employment experiences for individuals with disabilities, people who have been disabled by use of drugs or alcohol or people with emotional difficulties, with the objective of helping them to become economically self-sufficient.",Vocational Rehabilitation,Employment for Disabled Persons,Employment for the Homebound,Homebound Employment,Housebound Employment,Job Coach,On-the-Job Coaching,Supported Employment,Work Adjustment Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J32,Goodwill Industries sites.,Goodwill Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J33,"Organizations that provide paid employment opportunities in a controlled, protected environment for people with disabilities who are unable to obtain competitive employment. Also included are work activity centers which provide personal and social development opportunities for participants who have demonstrated inconsequential production capacity.",Sheltered Employment,Remunerative Sheltered Employment,Sheltered Employment,Sheltered Remunerative Employment,Sheltered Work Activity Centers,Sheltered Workshops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J40,Organizations that work to promote the rights of employees to fair remuneration and safe working conditions [Note: These are generally section 501(c)(5) organizations]. ,Labor Unions,Associations of Employees,Associations of Municipal Employees,Employyee Associations,Employee Clubs,Fair Labor Standards,Farm Workers,Labor,Labor Unions,Local Unions,Longshoremen,Migrant Workers,Safe Working Conditions,Teamsters,Wage Policies,"Wage, Hour & Workplace Standards",Working Conditions,Trade Unions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J99,Use this code for organizations that clearly provide employment and job related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,Employment N.E.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,,"Food, Agriculture & Nutrition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01,"Organizations whose activities focus on influencing public policy within the Food, Agriculture, and Nutrition major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",Alliances & Advocacy,Agrarian Reform,Anti-Hunger Alliances,Anti-Hunger Coalitions,Hunger Action,Lobbying,Public Awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02,"Consultation, training, and other forms of management assistance services to nonprofit groups within the Food, Agriculture, and Nutrition major group area.",Management & Technical Assistance,Farm Management & Technical Assistance,Professional Continuing Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K03,"Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Food, Agriculture, and Nutrition major group area.",Professional Societies & Associations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K05,"Organizations whose primary purpose is to conduct research and/or public policy analysis within the Food, Agriculture, and Nutrition major group area.",Research Institutes & Public Policy Analysis,Agricultural Policy Research & Analysis,Agricultural Science Research Institutes,Food Policy Research & Analysis,Food Science Research Institutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K11,"Organizations existing as a fund-raising entity for a single institution within the Food, Agriculture & Nutrition major group area.",Single Organization Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K12,"Organizations that raise and distribute funds for multiple organizations within the Food, Agriculture, and Nutrition major group area.",Fund Raising & Fund Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K19,"Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Food, Agriculture and Nutrition major group area.",Support N.E.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K20,Organizations that focus on the development and improvement of food resources or food procurement through information and technical assistance for agricultural establishments and individuals in rural or urban settings. Use this code for organizations that provide a wide range of agricultural services or those that offer services to support the agricultural sector not specified below.,Agricultural Programs,Agricultural Cooperatives,Agricultural Extension Service,Agricultural Production,Agricultural Water Management,Agroforestry,Alternative Farming,Aquaculture,Crop Production,Dairy Cooperatives,Erosion Control,Farmers Cooperative Marketing,Farmers Cooperative Purchasing,Fish Farming,Home Gardening Assistance,Irrigation,Organic Farming,Pest Control,Regenerative Agriculture,Seed Certification,Soil Conservation,Soil Erosion Prevention,Sustainable Agriculture,Sustainable Farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K25,Organizations such as land trusts that work to ensure that farmland is preserved for farming purposes rather than freed for development or environmental quality purposes.,Farmland Preservation,Agricultural Land Preservation,Agricultural Land Protection,Farmland Protection,Working Farms Preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K26,"Organizations that provide information, technical assistance and support for individuals or commercial establishments that are engaged in the keeping, grazing, feeding and/or sale of livestock. [Note: These organizations are typically found in section 501(c)(5).]",Animal Husbandry,Animal Breeding,Animal Husbandry,Apiaries,Apiculture,Beekeeping,Breeders Associations,Breeding,Cattle,Dairy Farms,Dairy Herd Improvement Association,Egg Production Facilities,Farm Animals,Feedlots,Goats,Hogs,Horse Breeding,Husbandry,Livestock Breeding,Poultry,Poultry Hatcheries,Ranches,Sericulture,Sheep,Silkworms,Turkeys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K28,Organizations whose members are farmers or ranchers who have affiliated for the purpose of representing the interests of agricultural producers and rural communities. [Note: These organizations are typically found in section 501(c)(5).],Farm Bureaus & Granges,Agricultural Societies,Farm Bureaus,Farmers Associations,Granges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K30,"Organizations that provide access to free or low-cost food products to children, seniors, or indigents by distributing groceries, providing meals, providing facilities for storing food or making available land on which people can grow their own produce. Use this code for organizations that provide a wide range of food services or those that offer food-related services not specified below.",Food Programs,Baby Food Suppliers,Commodity Distribution,Community Food Gardening,Cooperative Food Purchasing,Emergency Food,Farmers Markets,Food Aid,Food Assistance,Food Baskets,Food Cooperatives,Food Co-ops,Food Distribution,Food Gleaning,Food Lines,Food Vouchers,Groceries on Wheels,Grocery Vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K31,"Organizations that gather, store and distribute food to indigents at no charge or at low cost.",Food Banks & Pantries,Food Banks,Food Clearinghouse,Food Closet,Food Outlets,Food Pantries,food pantry,Food Supplement Distribution,Free Food Distribution,Surplus Commodity Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K34,"Organizations (also known as nutrition sites or senior nutrition programs) that provide hot meals on a regular basis, usually for elderly individuals but also for disabled adults or other target populations.",Congregate Meals,Adult Care Feeding,Child Care Feeding,Child Nutrition,Group Meals,Low-Cost Meals,Meal Vouchers,Milk Programs,Nutrition Sites,School Breakfasts,School Lunches,Summer Food Service,Senior Nutrition Sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K35,Organizations that provide meals in a central location for indigent people.,Soup Kitchens,Homeless Meals,Meals for Homeless People,Soup Kitchens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K36,"Organizations that prepare and deliver regular hot meals to elderly individuals, people with disabilities or people with AIDS or other targeted conditions who are unable to shop and/or prepare food for themselves or to travel to a site where a meal is being served. Also known as home delivered meals.",Meals on Wheels,Home Delivered Meals,Home Meals,Meals on Wheels,Mobile Meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K40,"Organizations that provide information concerning the basic principles of healthful eating, food handling, food preparation and shopping skills. Included is information about the basic food groups, vitamin and mineral requirements, and the relationship of nutrition to the preservation of good health and the prevention of illness.",Nutrition,Basic Food Groups,Healthful Eating,Nutrition Assistance,Nutrition Education,"Special Supplemental Nutrition for Women, Infants and Children",USDA Food Pyramid,Vegetarianism.,WIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K50,"Organizations that provide instruction that deals with the basic activities of homemaking including caring for and managing children, shopping for and preparing nutritious meals, maintaining a clean and safe living environment, and other in-home responsibilities.",Home Economics,Family Life,Homemaking,Housekeeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K99,"Use this code for organizations that clearly provide food, agriculture or nutrition services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.","Food, Agriculture & Nutrition N.E.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,,Housing & Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01,"Organizations whose activities focus on influencing public policy within the Housing, Shelter major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",Alliances & Advocacy,Fair Housing Advocacy,Fair Housing Promotion,Housing Alliances,Housing Coalitions,Housing Discriminationl Lobbying,Public Awareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02,"Consultation, training, and other forms of management assistance services to nonprofit groups within the Housing, Shelter major group area.",Management & Technical Assistance,Professional Continuing Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03,"Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Housing, Shelter major group area.",Professional Societies & Associations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05,"Organizations whose primary purpose is to conduct research and/or public policy analysis within the Housing, Shelter major group area.",Research Institutes & Public Policy Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L11,Organizations existing as a fund-raising entity for a single institution within the Housing & Shelter major group area.,Single Organization Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L12,"Organizations that raise and distribute funds for multiple organizations within the Housing, Shelter major group area.",Fund Raising & Fund Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L19,"Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Housing, Shelter major group area.",Support N.E.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L20,"Organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). Use this code for organizations that provide housing services for a wide range of individuals or for those that offer housing options for low income tenants that are not specified below.","Housing Development, Construction & Management",Accessible Housing,Affordable Housing,Barrier-Free Housing,Habitat for Humanity,Housing Construction,Housing Cooperatives,Housing Development,Housing Management,Inexpensive Housing,Low Cost Housing,Low Income Housing,Low to Moderate Cost Housing,Low to Moderate Income Housing,Mobile Home Parks,Moderate Income Housing,Rooming Houses,Shared Housing,Single Room Occupancy,SRO Hotels,SRO Housing,SROs,Sweat Equity,Urban Homesteading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
